like1,parrunoff_coeff,parsoil_capacity,paret_factor,parquick_recession,parbase_recession,chain
-59.844086,0.30834663,203.62198,0.37163022,0.8118525,0.0116038965,5.0
-70.63918,0.48819166,92.2535,1.1978378,0.3099254,0.1080393,6.0
-42.924393,0.3736373,113.80267,1.4977385,0.63540345,0.19043694,0.0
-74.44806,0.40333372,230.87337,0.27102637,0.4770867,0.22537974,1.0
-62.340775,0.53033733,24.254568,1.3547568,0.64141786,0.24288146,2.0
-63.750546,0.2993972,229.1436,0.49838609,0.66425574,0.014684928,3.0
-78.849335,0.12057385,60.77883,1.3193243,0.83772093,0.14279471,4.0
-62.723824,0.5280208,215.68037,0.47825336,0.66630083,0.037339862,5.0
-57.91523,0.5266323,92.2535,1.1045629,0.6451116,0.1080393,6.0
-85.02425,0.37312454,38.399746,0.7700412,0.75061435,0.07266189,0.0
-79.29404,0.6024167,175.83646,0.48997796,0.5535354,0.15035678,1.0
-62.340775,0.53033733,24.254568,1.3547568,0.64141786,0.24288146,2.0
-81.830246,0.13377033,108.047874,0.39259294,0.6237131,0.07638258,3.0
-79.837814,0.45834398,62.52173,0.75450295,0.85185784,0.14224233,4.0
-82.09407,0.17313541,131.88556,0.26634985,0.70786023,0.037339862,5.0
-71.94357,0.47954193,92.2535,0.44861466,0.72213346,0.1080393,6.0
-64.13409,0.2193512,109.611,1.1120517,0.73081917,0.20555371,0.0
-58.79139,0.46177197,139.51227,1.2797736,0.70318395,0.21732943,1.0
-55.334515,0.49843282,74.470985,1.0852242,0.68951666,0.2173765,2.0
-75.65234,0.21783753,122.70785,0.40757224,0.6873605,0.018923586,3.0
-59.28953,0.36779287,60.77883,1.1905067,0.83772093,0.14279471,4.0
-37.842037,0.37407935,215.68037,0.26634985,0.70786023,0.020764211,5.0
-60.841206,0.49380323,92.2535,1.2811854,0.4493427,0.15972026,6.0
